Take-Offs & Landings,,
presumably,[ pri'zju:-məbli，pri:- ],adv. 大概；推测起来；可假定
unviable,[ˌʌnˈvaɪəbl],adj. （尤指经济上）不能成功的，行不通的
instrumental,[ ，instru'mentəl， ，instrə- ],adj. 乐器的；有帮助的；仪器的，器械的
swallow,[ 'swɔləu ],vt. 忍受；吞没
swell,[ swel ],v. 膨胀，肿胀；（使）凸出，鼓出；（使）增加，扩大；（声音）变响亮；充满（激情）
swollen,[ˈswoʊlən],adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
pump,[ pʌmp ],n. 泵；泵送；无带浅帮女鞋；平底轻便鞋
incentive,[ in'sentiv ],n. 动机；刺激
prison,[ 'prizən ],n. 监狱；监禁；拘留所
imprison,[ im'prizən ],vt. 监禁；关押；使…下狱
impair,[ im'pεə ],vt. 损害；削弱；减少
thief,[ θi:f ],n. 小偷，贼
wind up,[ˈwaɪnd ʌp],结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
intense,[ in'tens ],adj. 强烈的；紧张的；非常的；热情的
intuitive,[ɪnˈtuːɪtɪv],adj. 直觉的；凭直觉获知的
caravan,[ˈkærəvæn],n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
emperor,[ 'empərə ],n. 皇帝，君主
historian,[ his'tɔ:riən ],n. 历史学家
historical,[ his'tɔrikəl ],adj. 历史的；史学的；基于史实的
feudal,[ 'fju:dl ],adj. 封建制度的；领地的；世仇的
novels,[ 'nɔvəlz ],n. 小说（novel的复数）
literal,[ 'litərəl ],adj. 文字的；逐字的；无夸张的
literature,[ 'litərətʃə ],n. 文学；文献；文艺；著作
polarise,[ ’pəuləraiz ],vt. 极化（等于polarize）
counterpart,[ 'kauntə，pɑ:t ],n. 副本；配对物；极相似的人或物
susceptibility,[ sə，septə'biləti ],n. 敏感性；感情；磁化系数
depression,[dɪˈpreʃn],n. 沮丧；忧愁；抑郁症；洼地；不景气；低气压区
ruin,[ 'ruin， 'ru:- ],n. 毁坏；毁灭，灭亡；崩溃；破产，一无所有，丢掉工作；破产的根源，祸根；废墟；残存部分
viciously,[ 'viʃəsli ],adv. 邪恶地；敌意地
reciprocal,[ ri'siprəkəl ],adj. 互惠的；相互的；倒数的，彼此相反的
legacy,[ 英 [ˈleɡəsi] 美 [ˈleɡəsi] ],n. 遗产；遗赠财物；遗留问题；后遗症
hospitalize,[ 'hɔspitəlaiz ],vt. 就医；送…进医院治疗
heaving,[ 'hi:vinŋ ],v. 使起伏；举起（重物）；举起抛出；恶心（heave的ing形式）
invest,[ in'vest ],vt. 投资；覆盖；耗费；授予；包围
fatigue,[ fə'ti:ɡ ],n. 疲劳，疲乏；杂役
realms,[relmz],n. 领域（realm的复数）
wealthiest,,富有的（ wealthy的最高级 ）
intermediary,[ ，intə'mi:diəri ],adj. 中间的；媒介的；中途的
deceive,[ di'si:v ],v. 欺骗；行骗
sophisticated,[ sə'fistikeitid ],adj. 复杂的；精致的；久经世故的；富有经验的
casualty,[ 'kæʒjuəlti ],n. 意外事故；伤亡人员；急诊室
catastrophe,[ kə'tæstrəfi ],n. 大灾难；大祸；惨败
evacuation,[ i，vækju'eiʃən ],n. 疏散；撤离；排泄
tsunami,[ tsu'nɑ:mi ],n. 海啸
unleash,[ ，ʌn'li:ʃ ],v. 发泄；（使）爆发；放开，解除束缚
drills,[ drilz ],n. [机] 钻头（drill的复数）；操练；[纺] 斜纹布
alleviate,[ ə'li:vieit ],vt. 减轻，缓和
redundant,[ ri'dʌndənt ],adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
loophole,[ 'lu:phəul ],n. 漏洞；枪眼；换气孔；射弹孔
dodge,[ dɔdʒ ],v. 躲开；迅速让开；逃避；按变换序列鸣钟；（冲洗或放大时）局部遮光
indulge,[ in'dʌldʒ ],vt. 满足；纵容；使高兴；使沉迷于…
detrimental,[ ，detri'mentəl ],adj. 不利的；有害的
designated,[ 'deziɡ，neitid ],adj. 指定的；特指的
consequence,[ 'kɔnsi，kwəns ],n. 结果；重要性；推论
conspicuously,[ kəns'pikjuəsli ],adv. 显著地，明显地；超群地，惹人注目地
enthusiast,[ in'θju:ziæst， inθu:- ],n. 爱好者，热心家；热烈支持者；狂热者，基督教狂热分子
poets,['poɪt],n. 诗人（poet的复数形式）
symbolize,[ 'simbəlaiz ],vt. 象征；用符号表现
noble,[ 'nəubl ],adj. 高尚的；贵族的；惰性的；宏伟的
virtue,[ 'və:tju: ],n. 美德；优点；贞操；功效
metaphor,[ 'metəfə ],n. 暗喻，隐喻；比喻说法
obsess,[ ɔb'ses ],v. 使痴迷，使迷恋；使心神不宁，不停地困扰； 唠叨；挂牵，念念不忘
myriad,[ 'miriəd ],n. 无数，极大数量
appropriate,[əˈproʊpriət; əˈprəʊprieɪt],adj. 适当的；恰当的；合适的
responsibility,[ ri.spɔnsə'biliti ],n. 责任，职责；义务
purity,[ 'pjuəriti ],n. [化学] 纯度；纯洁；纯净；纯粹
pond,[ pɔnd ],n. 池塘；(the pond) （非正式）大西洋
morale,[ mɔ'rɑ:l， -'ræl ],n. 士气，斗志
moral,[ 'mɔrəl， 'mɔ:- ],adj. 道德的；精神上的；品性端正的
blossom,[ 'blɔsəm ],n. 花；开花期；兴旺期；花开的状态；漂亮的人
bloom,[ blu:m ],n. 花；青春；旺盛
ostrich,[ 'ɔ:stritʃ， 'ɔ- ],n. 鸵鸟；逃避现实的人
chameleon,[ kə'mi:liən ],n. 变色龙；善变的人；轻浮的人
determinant,[ di'tə:minənt ],n. 决定因素；行列式
prompt,[ prɔmpt ],v. 提示，鼓励；促进；激起；导致；（给演员）提白
saturated,[ 'sætʃəreitid ],adj. 饱和的；渗透的；深颜色的
contract,[ 'kɔntrækt， kən'trækt ],n. 合同，契约；婚约；（非正式）暗杀协议；（桥牌）定约
contrast,[ kən'trɑ:st， -'træst， 'kɔntrɑ:st， -træst ],n. 明显的差异，对比，对照； 明显不同的人（或事物）；（摄影或绘画中的）颜色反差；图像明暗对比度，反差
crusader,[ kru:'seidə ],n. 改革者；十字军战士
intrigue,[ in'tri:ɡ， 'in- ],n. 阴谋；诡计；复杂的事；私通
exclamation,[ ，eksklə'meiʃən ],n. 感叹；惊叫；惊叹词
adjacency,[ ə'dʒeisənsi ],n. 毗邻；四周；邻接物
